"Reference","Value","Footprint","Datasheet","Local Seller","Qty"
"C1, C2","22 pF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://makerselectronics.com/product/multilayer-ceramic-capacitors-mlcc-smd-smt-22pf-%c2%b15-50v-1206","2"
"C3, C4, C9, C10, C12, C13","100 nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://makerselectronics.com/product/multilayer-ceramic-capacitors-mlcc-smd-smt-50v-100nf-x7r-%c2%b110-1206","6"
"C5, C6, C11","10 µF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://makerselectronics.com/product/multilayer-ceramic-capacitors-mlcc-smd-smt-10uf-25v-x5r-%c2%b110-1206","3"
"C7, C8","22 µF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://makerselectronics.com/product/multilayer-ceramic-capacitors-mlcc-smd-smt-25v-22uf-%c2%b110-1206","2"
"D1","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","https://makerselectronics.com/product/blue-led-5mm-transparent","1"
"F1","Fuse","M's Library:Fuseholder_with_Cover_5x20mm_Horizontal","~","https://makerselectronics.com/product/fuse-holder-5mm-x-20mm-pcb-mount-blx-a","1"
"F2","Polyfuse_Small","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm","https://datasheet.lcsc.com/lcsc/2201181630_Littelfuse-LVR016K_C1562224.pdf","https://makerselectronics.com/product/resettable-fuse-lvr016k-240v-160ma-2a-through-hole","1"
"H1-H4","MountingHole","MountingHole:MountingHole_2.2mm_M2_Pad","~","","4"
"J1","Barrel_Jack_Switch","M's Library:BarrelJack_Horizontal","~","https://makerselectronics.com/product/dc-power-jack-female-socket-connector-5-5x2-1mm","1"
"J2","AVR-ISP-10","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical"," ~","https://makerselectronics.com/product/idc-10-pin-mounting-male-plug-polarized-fc10-pcb","1"
"J3","USB_B","M's Library:USB_B_Connector_Horizontal"," ~","https://makerselectronics.com/product/usb-connector-on-pcb-b-type-female","1"
"J4","Port A","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","https://makerselectronics.com/product/pin-headers-female-2-54mm-40-pin-straight-black-11mm","1"
"J5","Port B","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","https://makerselectronics.com/product/pin-headers-female-2-54mm-40-pin-straight-black-11mm","1"
"J6","Port C + D7","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~","https://makerselectronics.com/product/pin-headers-female-2-54mm-40-pin-straight-black-11mm","1"
"J7","Port D","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~","https://makerselectronics.com/product/pin-headers-female-2-54mm-40-pin-straight-black-11mm","1"
"J8","5V Headers","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","https://makerselectronics.com/product/pin-headers-female-2-54mm-40-pin-straight-black-11mm","1"
"J9","3.3 V Headers","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","https://makerselectronics.com/product/pin-headers-female-2-54mm-40-pin-straight-black-11mm","1"
"JP1","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","1"
"L1","10 µH","Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder","~","https://makerselectronics.com/product/smd-inductors-10uh-%c2%b110-15ma-1-1%cf%89-1206","1"
"Q1","AO3401A","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","https://makerselectronics.com/product/ao3401-30v-4-2a-65m%cf%8910v4-2a-350mw-p-channel-sot-23to-236-mosfet-smd","1"
"R1, R2","10 kΩ","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","https://makerselectronics.com/product/chip-resistor-smd-10k%cf%89-%c2%b11-250mw-1206","2"
"R3, R4, R6","0 Ω","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","https://makerselectronics.com/product/chip-resistor-smd-10k%cf%89-%c2%b11-250mw-1206","3"
"R5","1 kΩ","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","https://makerselectronics.com/product/chip-resistor-smd-1k%cf%89-%c2%b11-0-25w-%c2%b1100ppm-%e2%84%83-1206","1"
"SW1","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~","https://makerselectronics.com/product/mini-push-button-4-pin-6x6x4-3mm","1"
